═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/29 07:58:29

【口袋名單】共 157 筆

-- 2026-07-29 批次 第0天 (10隻) --
RACHUA | S90分 | 盾:verified | 首日 | 進0.007024 | 現0.000003438 | 損益-100.0% | 峰值+0.0% | 陣亡(70%)
SUITCAT | S86分 | 盾:verified | 首日 | 進0.00008629 | 現0.000002245 | 損益-97.4% | 峰值+0.6% | 陣亡(70%)
HONEY | S80分 | 盾:verified | 首日 | 進0.00004282 | 現0.000004687 | 損益-89.1% | 峰值+0.0% | 陣亡(70%)
longy | A76分 | 盾:verified | 首日 | 進0.00008127 | 現0.000001839 | 損益-97.7% | 峰值+0.0% | 查無報價疑歸零
CCAT | A76分 | 盾:verified | 首日 | 進0.00005160 | 現0.00004595 | 損益-10.9% | 峰值+72.4% | 追蹤中

-- 2026-07-23 批次 第5天 (3隻) --
Bella | S87分 | 盾:verified | 首日 | 進0.0001191 | 現0.00001704 | 損益-85.7% | 峰值+0.0% | 陣亡(70%)
Jimberly | S82分 | 盾:verified | 首日 | 進0.00004059 | 現0.000004225 | 損益-89.6% | 峰值+0.0% | 陣亡(70%)
Gigaroo | B60分 | 盾:verified | 首日 | 進0.00002675 | 現0.000002189 | 損益-91.8% | 峰值+3.4% | 查無報價疑歸零

-- 2026-07-22 批次 第6天 (7隻) --
ANSEMOTHY | S88分 | 盾:verified | 首日 | 進0.0001594 | 現0.000005570 | 損益-96.5% | 峰值+0.4% | 陣亡(70%)
BABYJIMOTHY | S88分 | 盾:verified | 首日 | 進0.0002352 | 現0.000009261 | 損益-96.1% | 峰值+0.0% | 陣亡(70%)
Cuda | S83分 | 盾:verified | 首日 | 進0.0002936 | 現0.000001577 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
MEMIPEDE | A71分 | 盾:verified | 首日 | 進0.0001901 | 現0.0001632 | 損益-14.2% | 峰值×2.41 | 曾達2x
SOLANA | A65分 | 盾:verified | 首日 | 進0.0003824 | 現0.000001471 | 損益-99.6% | 峰值+0.0% | 查無報價疑歸零
psyopcat | S85分 | 盾:verified | 首日 | 進0.0001008 | 現0.000006365 | 損益-93.7% | 峰值+1.2% | 陣亡(70%)
she  | S78分 | 盾:verified | 首日 | 進0.0001156 | 現0.000005655 | 損益-95.1% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-21 批次 第7天 (10隻) --
POB | S88分 | 盾:verified | 首日 | 進0.0007093 | 現0.00009847 | 損益-86.1% | 峰值+1.1% | 陣亡(70%)
GMEBULL | S87分 | 盾:verified | 首日 | 進0.0006253 | 現0.00004429 | 損益-92.9% | 峰值×2.84 | 陣亡(70%)
WHALE | S86分 | 盾:verified | 首日 | 進0.00009986 | 現0.00001491 | 損益-85.1% | 峰值×2.86 | 查無報價疑歸零
Jimhood | S85分 | 盾:verified | 首日 | 進0.0008171 | 現2.700 | 損益×3304.37 | 峰值×3304.37 | 查無報價疑歸零
MOONY | S84分 | 盾:verified | 首日 | 進0.0001242 | 現0.000001932 | 損益-98.4% | 峰值+0.0% | 陣亡(70%)
1jimothy | A77分 | 盾:verified | 首日 | 進0.001180 | 現0.000003968 | 損益-99.7% | 峰值×3.02 | 陣亡(70%)
RTM | A72分 | 盾:verified | 首日 | 進0.0003514 | 現0.0001706 | 損益-51.5% | 峰值+0.0% | 追蹤中
Rigby | A64分 | 盾:verified | 首日 | 進0.0002621 | 現0.00005363 | 損益-79.5% | 峰值+34.3% | 陣亡(70%)
LEAD | A77分 | 盾:verified | 首日 | 進0.00003317 | 現0.000002225 | 損益-93.3% | 峰值+77.7% | 查無報價疑歸零
GROKATHON | A77分 | 盾:verified | 首日 | 進0.00002683 | 現0.00001065 | 損益-60.3% | 峰值+0.4% | 追蹤中

-- 2026-07-20 批次 第8天 (4隻) --
YMIR | A73分 | 盾:verified | 首日 | 進0.0003809 | 現0.00002308 | 損益-93.9% | 峰值+30.1% | 查無報價疑歸零
CONVICTION | S80分 | 盾:verified | 首日 | 進0.00006399 | 現0.000002148 | 損益-96.6% | 峰值+0.8% | 查無報價疑歸零
HORSE | A77分 | 盾:verified | 首日 | 進0.00006919 | 現0.00003597 | 損益-48.0% | 峰值×3.65 | 曾達2x
Wukong | A75分 | 盾:verified | 首日 | 進0.00003739 | 現0.00003594 | 損益-3.9% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-19 批次 第9天 (9隻) --
Chonketha | S82分 | 盾:verified | 首日 | 進0.0001540 | 現0.001783 | 損益×11.58 | 峰值×11.58 | 曾達5x達標
WINGIT | S81分 | 盾:verified | 首日 | 進0.005136 | 現0.001994 | 損益-61.2% | 峰值+0.0% | 追蹤中
PRIETA | S81分 | 盾:verified | 首日 | 進0.0001869 | 現0.000006984 | 損益-96.3% | 峰值+2.0% | 查無報價疑歸零
PONED | A75分 | 盾:verified | 首日 | 進0.0003519 | 現0.0001533 | 損益-56.4% | 峰值+68.7% | 追蹤中
SharkCAT | S80分 | 盾:verified | 首日 | 進0.00003678 | 現0.00002376 | 損益-35.4% | 峰值+33.7% | 追蹤中
Rod | S79分 | 盾:verified | 首日 | 進0.00003457 | 現0.00002522 | 損益-27.0% | 峰值×2.07 | 查無報價疑歸零
bcat | B63分 | 盾:verified | 首日 | 進0.0001046 | 現0.0001698 | 損益+62.3% | 峰值×3.45 | 曾達2x
GHOSTI | B63分 | 盾:verified | 蟬聯2天 | 進0.00007714 | 現0.00004381 | 損益-43.2% | 峰值+53.9% | 追蹤中
SCAPE | B60分 | 盾:verified | 首日 | 進0.00008321 | 現0.00004645 | 損益-44.2% | 峰值+0.0% | 追蹤中

-- 2026-07-18 批次 第11天 (6隻) --
BULLARMY | S82分 | 盾:verified | 蟬聯2天 | 進0.0002482 | 現0.000002373 | 損益-99.0% | 峰值+48.5% | 查無報價疑歸零
Chameleon | A76分 | 盾:verified | 首日 | 進0.00007903 | 現0.00003110 | 損益-60.6% | 峰值+17.5% | 追蹤中
CAVIAR | A75分 | 盾:verified | 首日 | 進0.0001577 | 現0.00004593 | 損益-70.9% | 峰值+0.0% | 查無報價疑歸零
sAGENT | A68分 | 盾:verified | 首日 | 進0.0001476 | 現0.00005464 | 損益-63.0% | 峰值+30.4% | 追蹤中
papoi | S86分 | 盾:verified | 首日 | 進0.00009676 | 現0.00001361 | 損益-85.9% | 峰值+0.0% | 陣亡(70%)
Quasi | A75分 | 盾:verified | 首日 | 進0.00003435 | 現0.00001742 | 損益-49.3% | 峰值×2.86 | 查無報價疑歸零

-- 2026-07-17 批次 第11天 (10隻) --
CUBEMAN | S89分 | 盾:verified | 首日 | 進0.0008962 | 現0.000005874 | 損益-99.3% | 峰值×8.52 | 曾達5x達標
KET | S84分 | 盾:verified | 首日 | 進0.001173 | 現0.006908 | 損益×5.89 | 峰值×14.81 | 曾達5x達標
HBULL | S83分 | 盾:verified | 蟬聯4天 | 進0.003697 | 現0.001596 | 損益-56.8% | 峰值+4.1% | 追蹤中
Trump Coin | S80分 | 盾:verified | 首日 | 進0.0002330 | 現0.00003273 | 損益-86.0% | 峰值+0.0% | 陣亡(70%)
CASHGOAT | A73分 | 盾:verified | 首日 | 進0.0001784 | 現0.000001840 | 損益-99.0% | 峰值+0.6% | 查無報價疑歸零
LIZARD | A71分 | 盾:verified | 首日 | 進0.0001180 | 現0.00001212 | 損益-89.7% | 峰值+0.0% | 查無報價疑歸零
HOMIE | A67分 | 盾:verified | 首日 | 進0.0005484 | 現0.000004619 | 損益-99.2% | 峰值+88.8% | 查無報價疑歸零
Toly | S84分 | 盾:verified | 首日 | 進0.00009556 | 現0.000005483 | 損益-94.3% | 峰值×2.14 | 查無報價疑歸零
DBULL | S80分 | 盾:verified | 首日 | 進0.00005629 | 現0.00001488 | 損益-73.6% | 峰值×4.27 | 查無報價疑歸零
HORNY | A77分 | 盾:verified | 首日 | 進0.00003272 | 現0.00002600 | 損益-20.5% | 峰值+0.2% | 查無報價疑歸零

-- 2026-07-16 批次 第12天 (8隻) --
BULLSOL | S91分 | 盾:verified | 首日 | 進0.0002218 | 現0.000007182 | 損益-96.8% | 峰值+0.0% | 陣亡(70%)
MAHUTA  | S86分 | 盾:verified | 首日 | 進0.0002712 | 現0.00001786 | 損益-93.4% | 峰值+0.0% | 查無報價疑歸零
BARRON | S84分 | 盾:verified | 首日 | 進0.0003217 | 現0.00001168 | 損益-96.4% | 峰值+0.0% | 陣亡(70%)
BULLDOG | S83分 | 盾:verified | 首日 | 進0.0001138 | 現0.00001740 | 損益-84.7% | 峰值+55.6% | 查無報價疑歸零
RELIC | A71分 | 盾:verified | 首日 | 進0.0001692 | 現0.0001130 | 損益-33.2% | 峰值+0.0% | 追蹤中
AGR | A68分 | 盾:verified | 首日 | 進0.0002065 | 現0.00007822 | 損益-62.1% | 峰值+7.7% | 查無報價疑歸零
bul | S91分 | 盾:verified | 首日 | 進0.0001050 | 現0.000002055 | 損益-98.0% | 峰值×2.06 | 查無報價疑歸零
RJ | S79分 | 盾:verified | 首日 | 進0.00006877 | 現0.00001716 | 損益-75.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-15 批次 第13天 (10隻) --
MIM | S88分 | 盾:verified | 首日 | 進0.0004134 | 現0.00002120 | 損益-94.9% | 峰值+0.0% | 陣亡(70%)
Cardtopia | S88分 | 盾:verified | 首日 | 進0.0003908 | 現0.000003808 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
CP | S84分 | 盾:verified | 首日 | 進0.0001418 | 現0.0001416 | 損益-0.1% | 峰值+0.0% | 查無報價疑歸零
BULLCAT | A73分 | 盾:verified | 首日 | 進0.0003698 | 現0.00007462 | 損益-79.8% | 峰值×5.91 | 曾達5x達標
Udin | A64分 | 盾:verified | 首日 | 進0.0003487 | 現0.0003289 | 損益-5.7% | 峰值+80.0% | 追蹤中
LCID | A75分 | 盾:verified | 首日 | 進0.00005505 | 現0.00005397 | 損益-2.0% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A73分 | 盾:verified | 首日 | 進0.00005972 | 現0.00005590 | 損益-6.4% | 峰值×4.30 | 曾達2x
$shart | A71分 | 盾:verified | 首日 | 進0.00002860 | 現0.00002860 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
POINTLESS | A69分 | 盾:verified | 首日 | 進0.00006806 | 現0.000007706 | 損益-88.7% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | B63分 | 盾:verified | 首日 | 進0.005733 | 現0.006972 | 損益+21.6% | 峰值+34.8% | 上漲中

-- 2026-07-14 批次 第14天 (6隻) --
HOOD | S94分 | 盾:verified | 首日 | 進0.0001051 | 現0.0001041 | 損益-1.0% | 峰值+0.0% | 查無報價疑歸零
brain | S85分 | 盾:verified | 首日 | 進0.0005549 | 現0.00002038 | 損益-96.3% | 峰值+20.0% | 陣亡(70%)
Diarrhea | S84分 | 盾:verified | 首日 | 進0.0003178 | 現0.00002579 | 損益-91.9% | 峰值+8.5% | 陣亡(70%)
CashDog | S82分 | 盾:verified | 首日 | 進0.0001129 | 現0.00001688 | 損益-85.0% | 峰值+1.6% | 查無報價疑歸零
PEPE | A72分 | 盾:verified | 首日 | 進0.00006284 | 現0.000001685 | 損益-97.3% | 峰值+36.7% | 查無報價疑歸零
ROAST | B63分 | 盾:verified | 首日 | 進0.00003567 | 現0.00003567 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-13 批次 第15天 (8隻) --
SUNNYS | S92分 | 盾:verified | 首日 | 進0.001218 | 現0.000002978 | 損益-99.8% | 峰值+76.6% | 陣亡(70%)
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000003255 | 損益-99.3% | 峰值+4.8% | 陣亡(70%)
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000002255 | 損益-99.9% | 峰值+29.3% | 陣亡(70%)
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.000007287 | 損益-97.9% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0001706 | 損益-66.9% | 峰值+2.1% | 追蹤中
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.001101 | 損益-61.5% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.000005246 | 損益-94.3% | 峰值+55.2% | 陣亡(70%)
CASHPIGGY | A71分 | 盾:verified | 首日 | 進0.00002477 | 現0.00002394 | 損益-3.4% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-12 批次 第17天 (7隻) --
BARKITO | S92分 | 盾:verified | 首日 | 進0.0003637 | 現0.000002137 | 損益-99.4% | 峰值+0.0% | 陣亡(70%)
GHOSTI | S80分 | 盾:verified | 蟬聯2天 | 進0.0001854 | 現0.00004381 | 損益-76.4% | 峰值+2.3% | 陣亡(70%)
CATWIF | A76分 | 盾:verified | 蟬聯2天 | 進0.0004572 | 現0.00006650 | 損益-85.5% | 峰值+12.6% | 陣亡(70%)
LCM | A76分 | 盾:verified | 首日 | 進0.0001853 | 現0.000002450 | 損益-98.7% | 峰值+0.6% | 陣亡(70%)
REX | A75分 | 盾:verified | 首日 | 進0.0003903 | 現0.0001119 | 損益-71.3% | 峰值+44.9% | 陣亡(70%)
CASHCAT | A72分 | 盾:verified | 首日 | 進0.0002099 | 現0.00002413 | 損益-88.5% | 峰值+10.3% | 陣亡(70%)
