═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/26 09:15:49

【口袋名單】共 137 筆

-- 2026-07-26 批次 第0天 (9隻) --
MOONY | S84分 | 盾:verified | 首日 | 進0.0001242 | 現0.000002002 | 損益-98.4% | 峰值+0.0% | 查無報價疑歸零
1jimothy | A77分 | 盾:verified | 首日 | 進0.001180 | 現0.000004911 | 損益-99.6% | 峰值×3.02 | 查無報價疑歸零
RTM | A72分 | 盾:verified | 首日 | 進0.0003514 | 現0.0002799 | 損益-20.3% | 峰值+0.0% | 追蹤中
Rigby | A64分 | 盾:verified | 首日 | 進0.0002621 | 現0.00001770 | 損益-93.2% | 峰值+34.3% | 陣亡(70%)
LEAD | A77分 | 盾:verified | 首日 | 進0.00003317 | 現0.000002225 | 損益-93.3% | 峰值+77.7% | 查無報價疑歸零
GROKATHON | A77分 | 盾:verified | 首日 | 進0.00002683 | 現0.000005520 | 損益-79.4% | 峰值+0.4% | 查無報價疑歸零

-- 2026-07-20 批次 第6天 (4隻) --
YMIR | A73分 | 盾:verified | 首日 | 進0.0003809 | 現0.00002308 | 損益-93.9% | 峰值+30.1% | 查無報價疑歸零
CONVICTION | S80分 | 盾:verified | 首日 | 進0.00006399 | 現0.000002148 | 損益-96.6% | 峰值+0.8% | 查無報價疑歸零
HORSE | A77分 | 盾:verified | 首日 | 進0.00006919 | 現0.0002349 | 損益×3.39 | 峰值×3.65 | 曾達2x
Wukong | A75分 | 盾:verified | 首日 | 進0.00003739 | 現0.00003594 | 損益-3.9% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-19 批次 第6天 (9隻) --
Chonketha | S82分 | 盾:verified | 首日 | 進0.0001540 | 現0.001620 | 損益×10.52 | 峰值×10.63 | 曾達5x達標
WINGIT | S81分 | 盾:verified | 首日 | 進0.005136 | 現0.001489 | 損益-71.0% | 峰值+0.0% | 陣亡(70%)
PRIETA | S81分 | 盾:verified | 首日 | 進0.0001869 | 現0.000006984 | 損益-96.3% | 峰值+2.0% | 查無報價疑歸零
PONED | A75分 | 盾:verified | 首日 | 進0.0003519 | 現0.0001937 | 損益-45.0% | 峰值+68.7% | 追蹤中
SharkCAT | S80分 | 盾:verified | 首日 | 進0.00003678 | 現0.00004916 | 損益+33.7% | 峰值+33.7% | 上漲中
Rod | S79分 | 盾:verified | 首日 | 進0.00003457 | 現0.00002522 | 損益-27.0% | 峰值×2.07 | 查無報價疑歸零
bcat | B63分 | 盾:verified | 首日 | 進0.0001046 | 現0.0001503 | 損益+43.7% | 峰值×2.33 | 曾達2x
