═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/30 08:00:24

【口袋名單】共 167 筆

-- 2026-07-30 批次 第0天 (10隻) --
-- 2026-07-28 批次 第2天 (10隻) --
Smudge | S86分 | 盾:verified | 首日 | 進0.0002185 | 現0.0002202 | 損益+0.8% | 峰值+0.8% | 查無報價疑歸零
SAMECAT | S86分 | 盾:verified | 首日 | 進0.0006845 | 現0.0009265 | 損益+35.4% | 峰值+68.2% | 上漲中
Papoi | S86分 | 盾:verified | 首日 | 進0.0001751 | 現0.00005939 | 損益-66.1% | 峰值+0.0% | 追蹤中
PUMPCOIN | S85分 | 盾:verified | 首日 | 進0.0003342 | 現0.0003166 | 損益-5.3% | 峰值+0.0% | 查無報價疑歸零
Jimothy | S79分 | 盾:verified | 首日 | 進0.007453 | 現0.01114 | 損益+49.5% | 峰值+49.5% | 上漲中
RABBIT | A71分 | 盾:verified | 首日 | 進0.0001761 | 現0.0001200 | 損益-31.9% | 峰值+0.0% | 追蹤中
$HOWL | A66分 | 盾:verified | 首日 | 進0.0003271 | 現0.00007647 | 損益-76.6% | 峰值+0.0% | 陣亡(70%)
JACARE | A65分 | 盾:verified | 首日 | 進0.0004119 | 現0.00005264 | 損益-87.2% | 峰值+22.4% | 陣亡(70%)
Ryder | S92分 | 盾:verified | 首日 | 進0.0007499 | 現0.000002783 | 損益-99.6% | 峰值+2.3% | 查無報價疑歸零
duky | S91分 | 盾:verified | 首日 | 進0.00009001 | 現0.000002710 | 損益-97.0% | 峰值+33.7% | 陣亡(70%)

-- 2026-07-26 批次 第3天 (9隻) --
LJimothy | S88分 | 盾:verified | 首日 | 進0.0004007 | 現0.000002009 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
Cog | S82分 | 盾:verified | 首日 | 進0.0001827 | 現0.00002387 | 損益-86.9% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A75分 | 盾:verified | 首日 | 進0.0002184 | 現0.00009407 | 損益-56.9% | 峰值+8.8% | 追蹤中
props | A68分 | 盾:verified | 首日 | 進0.0001432 | 現0.00002136 | 損益-85.1% | 峰值+0.0% | 查無報價疑歸零
TRENCH | A67分 | 盾:verified | 首日 | 進0.0001260 | 現0.00007744 | 損益-38.5% | 峰值+0.0% | 查無報價疑歸零
Cupsey2028 | S95分 | 盾:verified | 首日 | 進0.001028 | 現0.000008285 | 損益-99.2% | 峰值+0.2% | 查無報價疑歸零
Tiana | S92分 | 盾:verified | 首日 | 進0.00008445 | 現0.00006244 | 損益-26.1% | 峰值+70.2% | 追蹤中
Bee | A75分 | 盾:verified | 首日 | 進0.00005762 | 現0.000001864 | 損益-96.8% | 峰值+7.3% | 查無報價疑歸零
RUSS | A74分 | 盾:verified | 首日 | 進0.00005671 | 現0.00001939 | 損益-65.8% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-25 批次 第4天 (10隻) --
Waddles | S88分 | 盾:verified | 首日 | 進0.0003443 | 現0.000003782 | 損益-98.9% | 峰值+0.8% | 陣亡(70%)
CUBEMAN | S85分 | 盾:verified | 蟬聯2天 | 進0.0008777 | 現0.000005942 | 損益-99.3% | 峰值+0.0% | 陣亡(70%)
Benny | S83分 | 盾:verified | 首日 | 進0.0003829 | 現0.000001887 | 損益-99.5% | 峰值+18.1% | 查無報價疑歸零
RAKO | S83分 | 盾:verified | 首日 | 進0.0006291 | 現0.0004191 | 損益-33.4% | 峰值+0.0% | 追蹤中
BIGFOOT | A76分 | 盾:verified | 首日 | 進0.0001724 | 現0.000002927 | 損益-98.3% | 峰值+0.0% | 查無報價疑歸零
MEMENOTE | A72分 | 盾:verified | 首日 | 進0.0007561 | 現0.00005067 | 損益-93.3% | 峰值+5.8% | 陣亡(70%)
LARP | A68分 | 盾:verified | 首日 | 進0.0003958 | 現0.000002102 | 損益-99.5% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | A65分 | 盾:verified | 首日 | 進0.005830 | 現0.006824 | 損益+17.0% | 峰值+19.6% | 上漲中
dogi | S91分 | 盾:verified | 首日 | 進0.0001128 | 現0.000004281 | 損益-96.2% | 峰值×3.16 | 查無報價疑歸零
Chud | B62分 | 盾:verified | 首日 | 進0.0004513 | 現0.0003002 | 損益-33.5% | 峰值+9.7% | 追蹤中

-- 2026-07-24 批次 第6天 (10隻) --
Cricket | S82分 | 盾:verified | 首日 | 進0.0001960 | 現0.00003742 | 損益-80.9% | 峰值+1.4% | 陣亡(70%)
CAGE | S80分 | 盾:verified | 首日 | 進0.001158 | 現0.0006721 | 損益-42.0% | 峰值+0.0% | 追蹤中
claude | A76分 | 盾:verified | 首日 | 進0.0001233 | 現0.000004362 | 損益-96.5% | 峰值+0.6% | 陣亡(70%)
Udin | A68分 | 盾:verified | 首日 | 進0.0005902 | 現0.0004204 | 損益-28.8% | 峰值+42.0% | 追蹤中
RDLN | S95分 | 盾:verified | 首日 | 進0.001271 | 現0.000004440 | 損益-99.7% | 峰值+0.0% | 陣亡(70%)
RACHUA | S90分 | 盾:verified | 首日 | 進0.007024 | 現0.000003369 | 損益-100.0% | 峰值+0.0% | 陣亡(70%)
SUITCAT | S86分 | 盾:verified | 首日 | 進0.00008629 | 現0.000002245 | 損益-97.4% | 峰值+0.6% | 查無報價疑歸零
HONEY | S80分 | 盾:verified | 首日 | 進0.00004282 | 現0.000003981 | 損益-90.7% | 峰值+0.0% | 陣亡(70%)
longy | A76分 | 盾:verified | 首日 | 進0.00008127 | 現0.000001839 | 損益-97.7% | 峰值+0.0% | 查無報價疑歸零
CCAT | A76分 | 盾:verified | 首日 | 進0.00005160 | 現0.00004063 | 損益-21.3% | 峰值+94.5% | 追蹤中

-- 2026-07-23 批次 第6天 (3隻) --
Bella | S87分 | 盾:verified | 首日 | 進0.0001191 | 現0.00001208 | 損益-89.9% | 峰值+0.0% | 陣亡(70%)
Jimberly | S82分 | 盾:verified | 首日 | 進0.00004059 | 現0.000005092 | 損益-87.5% | 峰值+0.0% | 陣亡(70%)
Gigaroo | B60分 | 盾:verified | 首日 | 進0.00002675 | 現0.000002189 | 損益-91.8% | 峰值+3.4% | 查無報價疑歸零

-- 2026-07-22 批次 第7天 (7隻) --
ANSEMOTHY | S88分 | 盾:verified | 首日 | 進0.0001594 | 現0.000005334 | 損益-96.7% | 峰值+0.4% | 陣亡(70%)
BABYJIMOTHY | S88分 | 盾:verified | 首日 | 進0.0002352 | 現0.0001473 | 損益-37.4% | 峰值+0.0% | 追蹤中
Cuda | S83分 | 盾:verified | 首日 | 進0.0002936 | 現0.000001577 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
MEMIPEDE | A71分 | 盾:verified | 首日 | 進0.0001901 | 現0.0001558 | 損益-18.0% | 峰值×2.41 | 曾達2x
SOLANA | A65分 | 盾:verified | 首日 | 進0.0003824 | 現0.000001471 | 損益-99.6% | 峰值+0.0% | 查無報價疑歸零
psyopcat | S85分 | 盾:verified | 首日 | 進0.0001008 | 現0.000004555 | 損益-95.5% | 峰值+1.2% | 陣亡(70%)
she  | S78分 | 盾:verified | 首日 | 進0.0001156 | 現0.000005074 | 損益-95.6% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-21 批次 第8天 (10隻) --
POB | S88分 | 盾:verified | 首日 | 進0.0007093 | 現0.00008366 | 損益-88.2% | 峰值+1.1% | 陣亡(70%)
GMEBULL | S87分 | 盾:verified | 首日 | 進0.0006253 | 現0.00003757 | 損益-94.0% | 峰值×2.84 | 陣亡(70%)
WHALE | S86分 | 盾:verified | 首日 | 進0.00009986 | 現0.00001491 | 損益-85.1% | 峰值×2.86 | 查無報價疑歸零
