═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/8/1 07:57:56

【口袋名單】共 186 筆

-- 2026-08-01 批次 第0天 (9隻) --
RABBIT | A71分 | 盾:verified | 首日 | 進0.0001761 | 現0.00009858 | 損益-44.0% | 峰值+0.0% | 追蹤中
$HOWL | A66分 | 盾:verified | 首日 | 進0.0003271 | 現0.00008095 | 損益-75.3% | 峰值+0.0% | 陣亡(70%)
JACARE | A65分 | 盾:verified | 首日 | 進0.0004119 | 現0.00005264 | 損益-87.2% | 峰值+22.4% | 查無報價疑歸零
Ryder | S92分 | 盾:verified | 首日 | 進0.0007499 | 現0.000002783 | 損益-99.6% | 峰值+2.3% | 查無報價疑歸零
duky | S91分 | 盾:verified | 首日 | 進0.00009001 | 現0.000002710 | 損益-97.0% | 峰值+33.7% | 查無報價疑歸零

-- 2026-07-26 批次 第5天 (9隻) --
LJimothy | S88分 | 盾:verified | 首日 | 進0.0004007 | 現0.000002009 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
Cog | S82分 | 盾:verified | 首日 | 進0.0001827 | 現0.00003079 | 損益-83.1% | 峰值+0.0% | 陣亡(70%)
Peigengoo | A75分 | 盾:verified | 首日 | 進0.0002184 | 現0.0001563 | 損益-28.4% | 峰值+8.8% | 追蹤中
props | A68分 | 盾:verified | 首日 | 進0.0001432 | 現0.00002136 | 損益-85.1% | 峰值+0.0% | 查無報價疑歸零
TRENCH | A67分 | 盾:verified | 首日 | 進0.0001260 | 現0.0002862 | 損益×2.27 | 峰值×2.27 | 曾達2x
Cupsey2028 | S95分 | 盾:verified | 首日 | 進0.001028 | 現0.000008285 | 損益-99.2% | 峰值+0.2% | 查無報價疑歸零
Tiana | S92分 | 盾:verified | 首日 | 進0.00008445 | 現0.00003092 | 損益-63.4% | 峰值+70.2% | 追蹤中
Bee | A75分 | 盾:verified | 首日 | 進0.00005762 | 現0.000001864 | 損益-96.8% | 峰值+7.3% | 查無報價疑歸零
RUSS | A74分 | 盾:verified | 首日 | 進0.00005671 | 現0.00004693 | 損益-17.2% | 峰值+0.0% | 追蹤中

-- 2026-07-25 批次 第6天 (10隻) --
Waddles | S88分 | 盾:verified | 首日 | 進0.0003443 | 現0.000003037 | 損益-99.1% | 峰值+0.8% | 陣亡(70%)
CUBEMAN | S85分 | 盾:verified | 蟬聯2天 | 進0.0008777 | 現0.000005223 | 損益-99.4% | 峰值+0.0% | 陣亡(70%)
Benny | S83分 | 盾:verified | 首日 | 進0.0003829 | 現0.000001822 | 損益-99.5% | 峰值+18.1% | 陣亡(70%)
RAKO | S83分 | 盾:verified | 首日 | 進0.0006291 | 現0.0002838 | 損益-54.9% | 峰值+0.0% | 追蹤中
BIGFOOT | A76分 | 盾:verified | 首日 | 進0.0001724 | 現0.000002283 | 損益-98.7% | 峰值+0.0% | 陣亡(70%)
MEMENOTE | A72分 | 盾:verified | 首日 | 進0.0007561 | 現0.00003149 | 損益-95.8% | 峰值+5.8% | 陣亡(70%)
LARP | A68分 | 盾:verified | 首日 | 進0.0003958 | 現0.000001596 | 損益-99.6% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | A65分 | 盾:verified | 首日 | 進0.005830 | 現0.006592 | 損益+13.1% | 峰值+19.6% | 上漲中
dogi | S91分 | 盾:verified | 首日 | 進0.0001128 | 現0.000004281 | 損益-96.2% | 峰值×3.16 | 查無報價疑歸零
Chud | B62分 | 盾:verified | 首日 | 進0.0004513 | 現0.0002798 | 損益-38.0% | 峰值+9.7% | 追蹤中

-- 2026-07-24 批次 第8天 (10隻) --
Cricket | S82分 | 盾:verified | 首日 | 進0.0001960 | 現0.00005019 | 損益-74.4% | 峰值+55.9% | 陣亡(70%)
CAGE | S80分 | 盾:verified | 首日 | 進0.001158 | 現0.0007986 | 損益-31.0% | 峰值+0.0% | 追蹤中
claude | A76分 | 盾:verified | 首日 | 進0.0001233 | 現0.000004055 | 損益-96.7% | 峰值+0.6% | 陣亡(70%)
Udin | A68分 | 盾:verified | 首日 | 進0.0005902 | 現0.0002978 | 損益-49.5% | 峰值+42.0% | 追蹤中
RDLN | S95分 | 盾:verified | 首日 | 進0.001271 | 現0.000003951 | 損益-99.7% | 峰值+0.0% | 陣亡(70%)
RACHUA | S90分 | 盾:verified | 首日 | 進0.007024 | 現0.000003361 | 損益-100.0% | 峰值+0.0% | 陣亡(70%)
SUITCAT | S86分 | 盾:verified | 首日 | 進0.00008629 | 現0.000002137 | 損益-97.5% | 峰值+0.6% | 陣亡(70%)
HONEY | S80分 | 盾:verified | 首日 | 進0.00004282 | 現0.000003327 | 損益-92.2% | 峰值+0.0% | 陣亡(70%)
