═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/28 07:30:05

【口袋名單】共 147 筆

-- 2026-07-28 批次 第0天 (10隻) --
TRENCH | A67分 | 盾:verified | 首日 | 進0.0001260 | 現0.00007744 | 損益-38.5% | 峰值+0.0% | 追蹤中
Cupsey2028 | S95分 | 盾:verified | 首日 | 進0.001028 | 現0.000008285 | 損益-99.2% | 峰值+0.2% | 查無報價疑歸零
Tiana | S92分 | 盾:verified | 首日 | 進0.00008445 | 現0.00008078 | 損益-4.3% | 峰值+70.2% | 追蹤中
Bee | A75分 | 盾:verified | 首日 | 進0.00005762 | 現0.000001864 | 損益-96.8% | 峰值+7.3% | 查無報價疑歸零
RUSS | A74分 | 盾:verified | 首日 | 進0.00005671 | 現0.00001939 | 損益-65.8% | 峰值+0.0% | 追蹤中

-- 2026-07-25 批次 第2天 (10隻) --
Waddles | S88分 | 盾:verified | 首日 | 進0.0003443 | 現0.000006125 | 損益-98.2% | 峰值+0.8% | 陣亡(70%)
CUBEMAN | S85分 | 盾:verified | 蟬聯2天 | 進0.0008777 | 現0.000006806 | 損益-99.2% | 峰值+0.0% | 陣亡(70%)
Benny | S83分 | 盾:verified | 首日 | 進0.0003829 | 現0.000001857 | 損益-99.5% | 峰值+18.1% | 陣亡(70%)
RAKO | S83分 | 盾:verified | 首日 | 進0.0006291 | 現0.0004106 | 損益-34.7% | 峰值+0.0% | 追蹤中
BIGFOOT | A76分 | 盾:verified | 首日 | 進0.0001724 | 現0.000003002 | 損益-98.3% | 峰值+0.0% | 陣亡(70%)
MEMENOTE | A72分 | 盾:verified | 首日 | 進0.0007561 | 現0.00003050 | 損益-96.0% | 峰值+5.8% | 陣亡(70%)
LARP | A68分 | 盾:verified | 首日 | 進0.0003958 | 現0.000001461 | 損益-99.6% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | A65分 | 盾:verified | 首日 | 進0.005830 | 現0.006780 | 損益+16.3% | 峰值+16.3% | 上漲中
dogi | S91分 | 盾:verified | 首日 | 進0.0001128 | 現0.000004281 | 損益-96.2% | 峰值+51.9% | 陣亡(70%)
Chud | B62分 | 盾:verified | 首日 | 進0.0004513 | 現0.0004953 | 損益+9.7% | 峰值+9.7% | 上漲中

-- 2026-07-24 批次 第3天 (10隻) --
Cricket | S82分 | 盾:verified | 首日 | 進0.0001960 | 現0.00008311 | 損益-57.6% | 峰值+1.4% | 追蹤中
CAGE | S80分 | 盾:verified | 首日 | 進0.001158 | 現0.0007942 | 損益-31.4% | 峰值+0.0% | 追蹤中
claude | A76分 | 盾:verified | 首日 | 進0.0001233 | 現0.000005576 | 損益-95.5% | 峰值+0.6% | 陣亡(70%)
Udin | A68分 | 盾:verified | 首日 | 進0.0005902 | 現0.0004245 | 損益-28.1% | 峰值+42.0% | 追蹤中
RDLN | S95分 | 盾:verified | 首日 | 進0.001271 | 現0.000004501 | 損益-99.6% | 峰值+0.0% | 陣亡(70%)
RACHUA | S90分 | 盾:verified | 首日 | 進0.007024 | 現0.000003404 | 損益-100.0% | 峰值+0.0% | 陣亡(70%)
SUITCAT | S86分 | 盾:verified | 首日 | 進0.00008629 | 現0.000002697 | 損益-96.9% | 峰值+0.6% | 陣亡(70%)
HONEY | S80分 | 盾:verified | 首日 | 進0.00004282 | 現0.000005973 | 損益-86.1% | 峰值+0.0% | 陣亡(70%)
longy | A76分 | 盾:verified | 首日 | 進0.00008127 | 現0.000001839 | 損益-97.7% | 峰值+0.0% | 查無報價疑歸零
CCAT | A76分 | 盾:verified | 首日 | 進0.00005160 | 現0.00004724 | 損益-8.4% | 峰值+72.4% | 追蹤中

-- 2026-07-23 批次 第4天 (3隻) --
Bella | S87分 | 盾:verified | 首日 | 進0.0001191 | 現0.000007968 | 損益-93.3% | 峰值+0.0% | 陣亡(70%)
Jimberly | S82分 | 盾:verified | 首日 | 進0.00004059 | 現0.000003712 | 損益-90.9% | 峰值+0.0% | 陣亡(70%)
Gigaroo | B60分 | 盾:verified | 首日 | 進0.00002675 | 現0.000002189 | 損益-91.8% | 峰值+3.4% | 查無報價疑歸零

-- 2026-07-22 批次 第5天 (7隻) --
ANSEMOTHY | S88分 | 盾:verified | 首日 | 進0.0001594 | 現0.000004986 | 損益-96.9% | 峰值+0.4% | 陣亡(70%)
BABYJIMOTHY | S88分 | 盾:verified | 首日 | 進0.0002352 | 現0.000006821 | 損益-97.1% | 峰值+0.0% | 陣亡(70%)
Cuda | S83分 | 盾:verified | 首日 | 進0.0002936 | 現0.000001577 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
MEMIPEDE | A71分 | 盾:verified | 首日 | 進0.0001901 | 現0.0002210 | 損益+16.3% | 峰值×2.41 | 曾達2x
SOLANA | A65分 | 盾:verified | 首日 | 進0.0003824 | 現0.000001471 | 損益-99.6% | 峰值+0.0% | 查無報價疑歸零
psyopcat | S85分 | 盾:verified | 首日 | 進0.0001008 | 現0.000005275 | 損益-94.8% | 峰值+1.2% | 陣亡(70%)
she  | S78分 | 盾:verified | 首日 | 進0.0001156 | 現0.000006126 | 損益-94.7% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-21 批次 第6天 (10隻) --
POB | S88分 | 盾:verified | 首日 | 進0.0007093 | 現0.00009331 | 損益-86.8% | 峰值+1.1% | 陣亡(70%)
GMEBULL | S87分 | 盾:verified | 首日 | 進0.0006253 | 現0.00005319 | 損益-91.5% | 峰值×2.84 | 陣亡(70%)
WHALE | S86分 | 盾:verified | 首日 | 進0.00009986 | 現0.00001491 | 損益-85.1% | 峰值×2.86 | 查無報價疑歸零
Jimhood | S85分 | 盾:verified | 首日 | 進0.0008171 | 現2.700 | 損益×3304.37 | 峰值×3304.37 | 查無報價疑歸零
MOONY | S84分 | 盾:verified | 首日 | 進0.0001242 | 現0.000001841 | 損益-98.5% | 峰值+0.0% | 陣亡(70%)
1jimothy | A77分 | 盾:verified | 首日 | 進0.001180 | 現0.000004518 | 損益-99.6% | 峰值×3.02 | 陣亡(70%)
RTM | A72分 | 盾:verified | 首日 | 進0.0003514 | 現0.0001784 | 損益-49.2% | 峰值+0.0% | 追蹤中
Rigby | A64分 | 盾:verified | 首日 | 進0.0002621 | 現0.0001271 | 損益-51.5% | 峰值+34.3% | 追蹤中
LEAD | A77分 | 盾:verified | 首日 | 進0.00003317 | 現0.000002225 | 損益-93.3% | 峰值+77.7% | 查無報價疑歸零
GROKATHON | A77分 | 盾:verified | 首日 | 進0.00002683 | 現0.000009201 | 損益-65.7% | 峰值+0.4% | 追蹤中

-- 2026-07-20 批次 第7天 (4隻) --
YMIR | A73分 | 盾:verified | 首日 | 進0.0003809 | 現0.00002308 | 損益-93.9% | 峰值+30.1% | 查無報價疑歸零
CONVICTION | S80分 | 盾:verified | 首日 | 進0.00006399 | 現0.000002148 | 損益-96.6% | 峰值+0.8% | 查無報價疑歸零
HORSE | A77分 | 盾:verified | 首日 | 進0.00006919 | 現0.00008103 | 損益+17.1% | 峰值×3.65 | 曾達2x
Wukong | A75分 | 盾:verified | 首日 | 進0.00003739 | 現0.00003594 | 損益-3.9% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-19 批次 第8天 (9隻) --
Chonketha | S82分 | 盾:verified | 首日 | 進0.0001540 | 現0.001568 | 損益×10.18 | 峰值×10.63 | 曾達5x達標
WINGIT | S81分 | 盾:verified | 首日 | 進0.005136 | 現0.001553 | 損益-69.8% | 峰值+0.0% | 追蹤中
PRIETA | S81分 | 盾:verified | 首日 | 進0.0001869 | 現0.000006984 | 損益-96.3% | 峰值+2.0% | 查無報價疑歸零
PONED | A75分 | 盾:verified | 首日 | 進0.0003519 | 現0.0001700 | 損益-51.7% | 峰值+68.7% | 追蹤中
SharkCAT | S80分 | 盾:verified | 首日 | 進0.00003678 | 現0.00001959 | 損益-46.7% | 峰值+33.7% | 追蹤中
Rod | S79分 | 盾:verified | 首日 | 進0.00003457 | 現0.00002522 | 損益-27.0% | 峰值×2.07 | 查無報價疑歸零
bcat | B63分 | 盾:verified | 首日 | 進0.0001046 | 現0.0001424 | 損益+36.1% | 峰值×3.45 | 曾達2x
GHOSTI | B63分 | 盾:verified | 蟬聯2天 | 進0.00007714 | 現0.00004479 | 損益-41.9% | 峰值+53.9% | 追蹤中
SCAPE | B60分 | 盾:verified | 首日 | 進0.00008321 | 現0.00004490 | 損益-46.0% | 峰值+0.0% | 追蹤中

-- 2026-07-18 批次 第10天 (6隻) --
BULLARMY | S82分 | 盾:verified | 蟬聯2天 | 進0.0002482 | 現0.000002373 | 損益-99.0% | 峰值+48.5% | 查無報價疑歸零
Chameleon | A76分 | 盾:verified | 首日 | 進0.00007903 | 現0.00002775 | 損益-64.9% | 峰值+17.5% | 追蹤中
CAVIAR | A75分 | 盾:verified | 首日 | 進0.0001577 | 現0.00004593 | 損益-70.9% | 峰值+0.0% | 查無報價疑歸零
sAGENT | A68分 | 盾:verified | 首日 | 進0.0001476 | 現0.00005805 | 損益-60.7% | 峰值+30.4% | 追蹤中
papoi | S86分 | 盾:verified | 首日 | 進0.00009676 | 現0.00001558 | 損益-83.9% | 峰值+0.0% | 陣亡(70%)
Quasi | A75分 | 盾:verified | 首日 | 進0.00003435 | 現0.00001742 | 損益-49.3% | 峰值×2.86 | 查無報價疑歸零

-- 2026-07-17 批次 第10天 (10隻) --
CUBEMAN | S89分 | 盾:verified | 首日 | 進0.0008962 | 現0.000006806 | 損益-99.2% | 峰值×8.52 | 曾達5x達標
KET | S84分 | 盾:verified | 首日 | 進0.001173 | 現0.008640 | 損益×7.37 | 峰值×14.81 | 曾達5x達標
HBULL | S83分 | 盾:verified | 蟬聯4天 | 進0.003697 | 現0.001493 | 損益-59.6% | 峰值+4.1% | 追蹤中
Trump Coin | S80分 | 盾:verified | 首日 | 進0.0002330 | 現0.00003270 | 損益-86.0% | 峰值+0.0% | 陣亡(70%)
CASHGOAT | A73分 | 盾:verified | 首日 | 進0.0001784 | 現0.000001840 | 損益-99.0% | 峰值+0.6% | 查無報價疑歸零
LIZARD | A71分 | 盾:verified | 首日 | 進0.0001180 | 現0.00001212 | 損益-89.7% | 峰值+0.0% | 查無報價疑歸零
HOMIE | A67分 | 盾:verified | 首日 | 進0.0005484 | 現0.000004619 | 損益-99.2% | 峰值+88.8% | 查無報價疑歸零
Toly | S84分 | 盾:verified | 首日 | 進0.00009556 | 現0.000005483 | 損益-94.3% | 峰值×2.14 | 查無報價疑歸零
DBULL | S80分 | 盾:verified | 首日 | 進0.00005629 | 現0.00001488 | 損益-73.6% | 峰值×4.27 | 查無報價疑歸零
HORNY | A77分 | 盾:verified | 首日 | 進0.00003272 | 現0.00002600 | 損益-20.5% | 峰值+0.2% | 查無報價疑歸零

-- 2026-07-16 批次 第11天 (8隻) --
BULLSOL | S91分 | 盾:verified | 首日 | 進0.0002218 | 現0.000002280 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
MAHUTA  | S86分 | 盾:verified | 首日 | 進0.0002712 | 現0.00001786 | 損益-93.4% | 峰值+0.0% | 陣亡(70%)
BARRON | S84分 | 盾:verified | 首日 | 進0.0003217 | 現0.00001733 | 損益-94.6% | 峰值+0.0% | 陣亡(70%)
BULLDOG | S83分 | 盾:verified | 首日 | 進0.0001138 | 現0.00001740 | 損益-84.7% | 峰值+55.6% | 查無報價疑歸零
RELIC | A71分 | 盾:verified | 首日 | 進0.0001692 | 現0.0001139 | 損益-32.7% | 峰值+0.0% | 追蹤中
AGR | A68分 | 盾:verified | 首日 | 進0.0002065 | 現0.00007822 | 損益-62.1% | 峰值+7.7% | 查無報價疑歸零
bul | S91分 | 盾:verified | 首日 | 進0.0001050 | 現0.000002055 | 損益-98.0% | 峰值×2.06 | 查無報價疑歸零
RJ | S79分 | 盾:verified | 首日 | 進0.00006877 | 現0.00001716 | 損益-75.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-15 批次 第12天 (10隻) --
MIM | S88分 | 盾:verified | 首日 | 進0.0004134 | 現0.00002058 | 損益-95.0% | 峰值+0.0% | 陣亡(70%)
Cardtopia | S88分 | 盾:verified | 首日 | 進0.0003908 | 現0.000003808 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
CP | S84分 | 盾:verified | 首日 | 進0.0001418 | 現0.0001416 | 損益-0.1% | 峰值+0.0% | 查無報價疑歸零
