═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/27 16:38:44

【口袋名單】共 137 筆

-- 2026-07-26 批次 第1天 (9隻) --
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000003495 | 損益-99.2% | 峰值+4.8% | 陣亡(70%)
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000002367 | 損益-99.9% | 峰值+29.3% | 陣亡(70%)
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.000009088 | 損益-97.4% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0002402 | 損益-53.4% | 峰值+2.1% | 追蹤中
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.001116 | 損益-61.0% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.000007660 | 損益-91.7% | 峰值+55.2% | 查無報價疑歸零
CASHPIGGY | A71分 | 盾:verified | 首日 | 進0.00002477 | 現0.00002394 | 損益-3.4% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-12 批次 第15天 (7隻) --
BARKITO | S92分 | 盾:verified | 首日 | 進0.0003637 | 現0.000002245 | 損益-99.4% | 峰值+0.0% | 陣亡(70%)
GHOSTI | S80分 | 盾:verified | 蟬聯2天 | 進0.0001854 | 現0.00004807 | 損益-74.1% | 峰值+2.3% | 陣亡(70%)
CATWIF | A76分 | 盾:verified | 蟬聯2天 | 進0.0004572 | 現0.00006991 | 損益-84.7% | 峰值+12.6% | 陣亡(70%)
LCM | A76分 | 盾:verified | 首日 | 進0.0001853 | 現0.000002599 | 損益-98.6% | 峰值+0.6% | 陣亡(70%)
REX | A75分 | 盾:verified | 首日 | 進0.0003903 | 現0.0001058 | 損益-72.9% | 峰值+44.9% | 陣亡(70%)
CASHCAT | A72分 | 盾:verified | 首日 | 進0.0002099 | 現0.00001914 | 損益-90.9% | 峰值+10.3% | 陣亡(70%)
FrogCat | S94分 | 盾:verified | 首日 | 進0.0001087 | 現0.000002150 | 損益-98.0% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-11 批次 第16天 (10隻) --
PROPHECY | S88分 | 盾:verified | 首日 | 進0.0001267 | 現0.000006437 | 損益-94.9% | 峰值+72.3% | 陣亡(70%)
BatCat | S88分 | 盾:verified | 首日 | 進0.0001253 | 現0.00008421 | 損益-32.8% | 峰值×2.70 | 曾達2x
ASTRA | S80分 | 盾:verified | 首日 | 進0.0002610 | 現0.000002032 | 損益-99.2% | 峰值+51.9% | 陣亡(70%)
Silk | S80分 | 盾:verified | 首日 | 進0.0001269 | 現0.000003688 | 損益-97.1% | 峰值×2.23 | 陣亡(70%)
Rizzler | A70分 | 盾:verified | 蟬聯2天 | 進0.0001391 | 現0.000004192 | 損益-97.0% | 峰值+13.7% | 陣亡(70%)
SCAPE | A66分 | 盾:verified | 首日 | 進0.00007138 | 現0.00005323 | 損益-25.4% | 峰值×2.81 | 曾達2x
